Rank;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina;Casein_Score;PA_MILK;IC_Low_MILK;IC_High_MILK;PA_FAT;IC_Low_FAT;IC_High_FAT;PA_PROT;IC_Low_PROT;IC_High_PROT;PA_SCS;IC_Low_SCS;IC_High_SCS;PA_PL;IC_Low_PL;IC_High_PL;PA_LIV;IC_Low_LIV;IC_High_LIV;PA_DPR;IC_Low_DPR;IC_High_DPR;PA_CCR;IC_Low_CCR;IC_High_CCR;PA_HCR;IC_Low_HCR;IC_High_HCR;PA_EFC;IC_Low_EFC;IC_High_EFC;PA_HLIV;IC_Low_HLIV;IC_High_HLIV;PA_UDC;IC_Low_UDC;IC_High_UDC;PA_FLC;IC_Low_FLC;IC_High_FLC;PA_BWC;IC_Low_BWC;IC_High_BWC
91;007HO17686;Commander;3457;1141;HOBRAC6735A204226;6;1107;2249;-225;458;363;53;673;2853;3.98;-95;100.0;99.4;91.7;0.0;64.0;71.4;;A2A2xA1A2=50%A2A2;AAxAE;1;727.8;-1033.6;2489.3;44.4;-22.9;111.7;32.0;-16.0;80.0;3.1;2.8;3.4;0.4;-2.5;3.2;-1.1;-3.2;0.9;-1.5;-3.7;0.7;0.2;-2.3;2.8;0.2;-2.3;2.6;1.3;-7.2;9.8;0.4;-1.0;1.8;-0.1;-1.4;1.2;0.0;-1.1;1.2;-0.2;-1.8;1.4
92;007HO17220;Rosemary;3323;879;HOBRAC6735A204264;44;1120;2364;68;474;378;68;688;2844;3.98;-95;100.0;99.6;93.1;0.0;70.9;71.4;;xA2A2;xAB;0;215.3;-1546.1;1976.8;55.9;-11.4;123.2;24.5;-23.5;72.5;3.0;2.7;3.3;0.3;-2.6;3.1;1.2;-0.8;3.3;-1.4;-3.5;0.8;0.5;-2.1;3.1;0.7;-1.8;3.1;-0.1;-8.6;8.4;0.3;-1.1;1.7;-0.3;-1.6;1.0;-0.6;-1.7;0.6;-0.1;-1.7;1.6
93;007HO17697;POwered;3337;1026;HOBRAC6735A204247;27;1114;2214;-69;478;383;73;693;2776;3.98;-95;100.0;99.6;93.5;0.0;71.2;71.3;;xA2A2;xAA;0;1043.3;-718.1;2804.8;41.4;-25.9;108.7;22.0;-26.0;70.0;2.9;2.6;3.2;1.3;-1.5;4.1;0.2;-1.8;2.3;-1.3;-3.4;0.9;0.4;-2.2;3.0;-0.8;-3.2;1.6;1.3;-7.2;9.9;-0.1;-1.5;1.3;-0.7;-2.0;0.6;-0.7;-1.9;0.4;-0.1;-1.7;1.5
94;007HO17220;Rosemary;3323;879;HOBRAC6735A204246;26;1083;2256;52;466;370;60;680;2790;3.98;-95;100.0;99.5;92.4;0.0;72.5;71.2;;xA2A2;xAB;0;347.3;-1414.1;2108.8;32.9;-34.4;100.2;19.0;-29.0;67.0;3.0;2.7;3.3;1.1;-1.7;3.9;1.2;-0.9;3.3;-0.8;-2.9;1.4;1.2;-1.3;3.8;1.0;-1.5;3.4;1.1;-7.4;9.7;0.8;-0.6;2.2;-0.3;-1.6;1.0;-0.3;-1.5;0.8;-0.8;-2.5;0.8
95;007HO17686;Commander;3457;1141;HOBRAC6735A204230;10;1105;2139;-430;356;260;-50;570;2798;3.98;-95;99.9;96.9;76.9;0.0;62.7;71.0;;A2A2xA2A2=100%A2A2;AAxAB;3;995.8;-765.6;2757.3;35.4;-31.9;102.7;25.5;-22.5;73.5;3.0;2.7;3.3;0.1;-2.8;2.9;-2.0;-4.1;0.1;-1.5;-3.6;0.7;0.4;-2.1;3.0;0.4;-2.0;2.8;2.5;-6.0;11.1;0.8;-0.6;2.2;0.1;-1.2;1.4;-0.0;-1.2;1.1;0.1;-1.5;1.8
96;007HO17697;POwered;3337;1026;HOBRAC6735A204262;42;1116;2188;-118;454;359;49;669;2762;3.98;-95;100.0;99.4;91.3;0.0;73.6;71.0;;xA2A2;xAB;0;189.3;-1572.1;1950.8;40.9;-26.4;108.2;16.5;-31.5;64.5;3.0;2.7;3.3;0.8;-2.0;3.6;1.1;-0.9;3.2;-0.5;-2.6;1.7;1.0;-1.6;3.6;-0.3;-2.8;2.1;0.7;-7.8;9.2;-0.1;-1.4;1.3;-0.6;-1.9;0.7;-0.7;-1.9;0.4;-0.5;-2.1;1.2
97;007HO17537;Shimmy;3247;815;HOBRAC6735A204221;1;1087;2494;93;454;359;49;669;2870;3.98;-95;100.0;99.4;91.3;0.0;71.4;71.0;;xA1A2;xAB;0;1102.8;-658.6;2864.3;29.9;-37.4;97.2;30.5;-17.5;78.5;3.0;2.7;3.3;1.4;-1.4;4.2;0.1;-2.0;2.2;-0.8;-3.0;1.4;0.5;-2.1;3.0;0.8;-1.6;3.3;3.1;-5.4;11.7;-0.1;-1.5;1.3;0.1;-1.2;1.4;0.0;-1.1;1.2;-0.2;-1.9;1.4
98;007HO17593;Betzold;3422;1043;HOBRAC6735A204226;6;1107;2249;-225;409;314;4;624;2836;3.98;-95;100.0;98.6;85.9;0.0;70.4;70.9;;A2A2xA1A2=50%A2A2;BBxAE;1;791.8;-969.6;2553.3;28.4;-38.9;95.7;26.5;-21.5;74.5;3.0;2.7;3.3;0.6;-2.3;3.4;-0.1;-2.2;2.0;-1.1;-3.2;1.1;0.8;-1.8;3.4;0.7;-1.8;3.1;2.4;-6.1;11.0;0.0;-1.4;1.4;-0.0;-1.3;1.3;0.0;-1.1;1.2;-0.0;-1.6;1.6
99;007HO17697;POwered;3337;1026;HOBRAC6735A204256;36;1169;2158;-124;451;356;46;666;2748;3.98;-95;100.0;99.3;91.0;0.0;72.0;70.6;;xA2A2;xBB;0;799.3;-962.1;2560.8;20.9;-46.4;88.2;23.0;-25.0;71.0;3.0;2.7;3.3;1.9;-0.9;4.7;1.4;-0.7;3.4;-0.6;-2.7;1.6;1.1;-1.5;3.6;-0.6;-3.0;1.8;2.2;-6.3;10.8;0.1;-1.3;1.5;-0.7;-2.0;0.6;-0.8;-1.9;0.4;-0.7;-2.3;0.9
100;007HO17686;Commander;3457;1141;HOBRAC6735A204224;4;1189;1754;-391;375;280;-30;590;2606;3.98;-95;99.9;97.7;80.5;0.0;59.4;70.6;;A2A2xA2A2=100%A2A2;AAxAA;3;711.8;-1049.6;2473.3;31.4;-35.9;98.7;21.5;-26.5;69.5;3.1;2.8;3.4;-0.1;-3.0;2.7;-0.1;-2.1;2.0;-1.5;-3.7;0.7;0.1;-2.5;2.6;-0.3;-2.7;2.1;-0.4;-8.9;8.1;0.1;-1.3;1.5;-1.5;-2.7;-0.2;-0.8;-2.0;0.4;-1.2;-2.8;0.5
