Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Rank_no_Touro;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;PA_MILK;PA_FAT;PA_PROT;PA_SCS;PA_DPR;PA_CCR;PA_PL;PA_LIV;PA_HCR;PA_EFC;PA_HLIV;PA_UDC;PA_FLC;PA_BWC;IC_Low_MILK;IC_High_MILK;IC_Low_FAT;IC_High_FAT;IC_Low_PROT;IC_High_PROT;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina
007HO17593;Betzold;3422;1043;1;HOBRAC6735A204260;40;1118;2444;196;620;524;214;834;2933;3.98;-95;100.0;100.0;99.2;0.0;79.4;83.8;617.3;51.4;30.5;2.9;-0.4;1.8;1.4;1.6;1.8;3.2;-0.1;-0.9;-0.6;-0.7;-1144.1;2378.8;-15.9;118.7;-17.5;78.5;;A2A2xA2A2=100%A2A2;BBxBB=100%BB
007HO17593;Betzold;3422;1043;2;HOBRAC6735A204261;41;1121;2552;256;650;554;244;864;2987;3.98;-95;100.0;100.0;99.5;0.0;77.2;83.6;772.3;67.4;32.5;2.9;-1.2;1.1;1.0;1.3;2.2;3.1;-0.3;-0.7;-0.5;-0.1;-989.1;2533.8;0.1;134.7;-15.5;80.5;;A2A2xA2A2=100%A2A2;BBxBB=100%BB
007HO17593;Betzold;3422;1043;3;HOBRAC6735A204242;22;1200;2606;223;633;538;228;848;3014;3.98;-95;100.0;100.0;99.4;0.0;73.4;83.1;1107.8;42.4;30.5;2.8;-1.2;0.9;2.5;1.2;1.1;3.8;-0.0;0.1;0.4;-0.8;-653.6;2869.3;-24.9;109.7;-17.5;78.5;;A2A2xA2A2=100%A2A2;BBxBB=100%BB
007HO17593;Betzold;3422;1043;4;HOBRAC6735A204240;20;1104;2560;215;629;534;224;844;2991;3.98;-95;100.0;100.0;99.3;0.0;79.4;82.5;1147.8;57.9;32.0;3.0;-0.9;1.6;1.0;1.7;1.1;2.7;0.1;-0.3;-0.0;-0.4;-613.6;2909.3;-9.4;125.2;-16.0;80.0;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;5;HOBRAC6735A204234;14;1186;2704;353;698;603;293;913;3063;3.98;-95;100.0;100.0;99.8;0.0;74.1;81.9;1372.8;49.9;47.0;2.9;-1.5;0.8;1.7;0.4;1.7;3.3;-0.1;-0.3;-0.2;-1.0;-388.6;3134.3;-17.4;117.2;-1.0;95.0;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;6;HOBRAC6735A204225;5;1086;2488;134;588;493;183;803;2955;3.98;-95;100.0;100.0;98.6;0.0;76.4;81.7;978.3;42.9;32.0;2.9;-1.0;1.6;2.0;0.8;1.7;2.2;-0.2;-0.0;-0.6;-0.9;-783.1;2739.8;-24.4;110.2;-16.0;80.0;;A2A2xA2A2=100%A2A2;BBxAA=100%AB
007HO17593;Betzold;3422;1043;7;HOBRAC6735A204243;23;1102;2610;269;656;561;251;871;3016;3.98;-95;100.0;100.0;99.6;0.0;81.4;81.4;827.8;52.4;26.0;2.9;-0.3;2.0;2.0;2.0;2.0;2.6;0.1;0.1;-0.1;-0.6;-933.6;2589.3;-14.9;119.7;-22.0;74.0;;A2A2xA1A2=50%A2A2;BBxBB=100%BB
007HO17593;Betzold;3422;1043;8;HOBRAC6735A204241;21;1109;2451;-48;498;402;92;712;2936;3.98;-95;100.0;99.7;94.9;0.0;82.3;80.0;1458.8;26.4;31.5;3.0;0.3;2.3;1.6;1.1;1.7;3.8;0.2;-0.1;0.2;-0.4;-302.6;3220.3;-40.9;93.7;-16.5;79.5;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;9;HOBRAC6735A204246;26;1083;2256;52;548;452;142;762;2839;3.98;-95;100.0;99.9;97.4;0.0;72.1;79.6;808.3;37.4;26.0;3.0;-1.3;1.1;0.8;0.5;1.2;2.8;0.1;-0.6;-0.3;-1.2;-953.1;2569.8;-29.9;104.7;-22.0;74.0;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;10;HOBRAC6735A204264;44;1120;2364;68;556;460;150;770;2893;3.98;-95;100.0;99.9;97.7;0.0;63.2;78.6;676.3;60.4;31.5;3.0;-1.9;0.4;-0.0;0.5;1.0;1.5;-0.3;-0.6;-0.5;-0.4;-1085.1;2437.8;-6.9;127.7;-16.5;79.5;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;11;HOBRAC6735A204256;36;1169;2158;-124;460;364;54;674;2790;3.98;-95;100.0;99.4;91.8;0.0;71.9;78.5;1013.3;18.4;28.5;2.9;-0.7;1.1;1.5;1.2;0.2;2.8;-0.2;-0.6;-0.5;-0.9;-748.1;2774.8;-48.9;85.7;-19.5;76.5;;A2A2xA2A2=100%A2A2;BBxBB=100%BB
007HO17593;Betzold;3422;1043;12;HOBRAC6735A204221;1;1087;2494;93;568;473;163;783;2958;3.98;-95;100.0;99.9;98.1;0.0;76.6;78.1;1483.8;42.9;36.5;3.0;-0.9;1.1;1.7;0.5;0.8;3.0;-0.3;-0.2;-0.1;-0.3;-277.6;3245.3;-24.4;110.2;-11.5;84.5;;A2A2xA1A2=50%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;13;HOBRAC6735A204236;16;1082;2158;-128;458;362;52;672;2790;3.98;-95;100.0;99.4;91.6;0.0;69.3;78.0;857.3;30.9;27.0;2.9;-1.2;0.4;0.9;0.5;-0.2;1.3;-0.2;-0.7;-0.3;-0.6;-904.1;2618.8;-36.4;98.2;-21.0;75.0;;A2A2xA2A2=100%A2A2;BBxBB=100%BB
007HO17593;Betzold;3422;1043;14;HOBRAC6735A204266;46;1113;2208;-76;484;388;78;698;2815;3.98;-95;100.0;99.6;93.9;0.0;73.9;78.0;736.8;35.4;26.0;3.0;-0.7;1.1;0.5;1.7;0.5;1.3;-0.3;-0.7;-0.5;-0.5;-1024.6;2498.3;-31.9;102.7;-22.0;74.0;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;15;HOBRAC6735A204262;42;1116;2188;-118;462;367;57;677;2805;3.98;-95;100.0;99.5;92.1;0.0;73.4;77.3;403.3;38.4;22.0;3.0;-0.6;1.1;0.4;1.0;0.5;1.2;-0.3;-0.5;-0.5;-0.7;-1358.1;2164.8;-28.9;105.7;-26.0;70.0;;A2A2xA2A2=100%A2A2;BBxAB=50%BB
007HO17593;Betzold;3422;1043;16;HOBRAC6735A204247;27;1114;2214;-69;487;392;82;702;2818;3.98;-95;100.0;99.7;94.1;0.0;68.0;77.2;1257.3;38.9;27.5;2.9;-1.4;0.5;0.9;0.1;0.1;1.8;-0.4;-0.6;-0.5;-0.3;-504.1;3018.8;-28.4;106.2;-20.5;75.5;;A2A2xA2A2=100%A2A2;BBxAA=100%AB
